"","Patid","mean_RPKM_1.19","mean_RPKM_20.29","Ratio20.29","mRNA_count","BRAF","NRAS","RSEM_normalized","ATI"
"122","TCGA-EB-A44P",0.284003815878969,1.4295352507246,5.03350719531814,546,"V600E","NaN",75.2501,0
"123","TCGA-EB-A44Q",0.00293920237772565,0.0171262883022099,5.82684895466851,10,"NaN","Q61L",1.6136,0
"124","TCGA-EB-A44R",0.18119360361829,0.86219274782832,4.75840609497812,332,"NaN","G13D",44.6994,0
"125","TCGA-EB-A4IQ",0.0209308689735628,0.0143866068572378,0.687339205811719,30,"NaN","NaN",4.2039,0
"126","TCGA-EB-A4IS",0.0149465266811012,0.274938711726904,18.3948229306374,104,"V600E","NaN",13.8154,0
"127","TCGA-EB-A4OY",0.0182271975794848,0.122826542697213,6.738641097272,60,"NaN","NaN",16.6818,0
"128","TCGA-EB-A4OZ",0,0.140542498916268,Inf,79,"V600E","NaN",33.4213,0
"129","TCGA-EB-A4P0",0,0.965794541557224,Inf,312,"V600E","NaN",60.9137,0
"130","TCGA-EB-A551",2.30085946581327,3.58283791755629,1.5571737304216,1950,"NaN","Q61K",303.1123,0
"131","TCGA-EB-A553",0.00832485569396826,0.123050397070033,14.7810846930582,75,"V600E","NaN",27.6954,0
"132","TCGA-EB-A57M",0.0114263068905024,0.050666107288064,4.43416300416173,27,"NaN","NaN",4.5478,0
"133","TCGA-EB-A5SE",0.0680357162443693,1.68089285260308,24.7060359674275,511,"V600E","NaN",67.6348,0
"134","TCGA-EB-A5SF",0.00929427028997883,0.127218905635814,13.6878852956302,57,"NaN","NaN",16.0932,0
"135","TCGA-EB-A5SG",0.0951379452443339,0.548819845562762,5.76867457199416,296,"NaN","Q61R",58.5134,0
"136","TCGA-EB-A5SH",0.00284353464188175,0.125662572057929,44.192383031694,39,"NaN","NaN",8.2559,0
"137","TCGA-EB-A5UL",0.0462583362155071,0.371116682609657,8.02269845765115,135,"NaN","Q61K",16.0305,0
"138","TCGA-EB-A5UM",0.126407359296795,0.562238572413507,4.44783100874224,203,"NaN","NaN",44.0129,0
"139","TCGA-EB-A5UN",0.26448314390521,20.3865721469506,77.080799350514,5555,"V600E","NaN",945.898,1
"140","TCGA-EE-A17X",0.00771965144241363,0.10728408068066,13.8975291152675,60,"NaN","Q61K",7.9826,0
"141","TCGA-EE-A17Y",0.0167166615942308,0.0274343784340399,1.6411397861585,17,"V600E","NaN",1.8144,0
"142","TCGA-EE-A17Z",0.00746458585148612,0.191379374952294,25.6383111883149,94,"NaN","NaN",12.6582,0
"143","TCGA-EE-A180",0.0891281456960763,1.28186134536044,14.3822283673615,465,"NaN","NaN",48.7879,0
"144","TCGA-EE-A181",0.0893271505912684,1.07277902656615,12.0095516252929,393,"S467L","NaN",47.4747,0
"145","TCGA-EE-A182",0.00110052357145762,1.5494824379984,1407.95025039413,557,"NaN","NaN",100.6524,1
"146","TCGA-EE-A183",0.00996544521003381,0.661040021043645,66.3332151360453,227,"V600K","NaN",28.7666,0
"147","TCGA-EE-A184",0.835388895431873,1.27059038354583,1.52095675498412,855,"NaN","Q61H",105.7944,0
"148","TCGA-EE-A185",0.0205894067587967,5.1826083789449,251.712370329983,1062,"NaN","Q61K",216.5746,1
"149","TCGA-EE-A20B",0.278204230875191,1.14475600892219,4.11480445613983,424,"V600E","NaN",65.1122,0
"150","TCGA-EE-A20C",1.13508578979384,52.6150762816381,46.3533917477676,20786,"NaN","Q61R",2601.6556,1
"151","TCGA-EE-A20F",0.0915174632457733,3.07448602836698,33.5945285121195,1373,"V600E","NaN",154.1325,1
"152","TCGA-EE-A20H",0.208880222868466,0.427087154342134,2.04465098934271,300,"V600K","NaN",29.0078,0
"153","TCGA-EE-A20I",0,0.105563047502203,Inf,54,"NaN","NaN",5.2399,0
"154","TCGA-EE-A29A",12.0989785173235,15.9044793231853,1.31453075153518,9597,"V600E","NaN",1406.8643,0
"155","TCGA-EE-A29B",0.00721030071123378,1.85339038070067,257.047584411154,475,"NaN","NaN",76.2565,0
"156","TCGA-EE-A29C",0.0268946288727352,0.0374174165155384,1.39125981966871,42,"V600E","NaN",8.8486,0
"157","TCGA-EE-A29D",1.41323836334503,42.8707623344138,30.3351249487326,19344,"NaN","NaN",1725.9867,1
"158","TCGA-EE-A29E",0.0015618493542584,0.563563858570435,360.831124355157,256,"V600K","NaN",26.2407,0
"159","TCGA-EE-A29G",0.088871100391741,0.535729336645763,6.02816139649768,250,"NaN","Q61K",32.2007,0
"160","TCGA-EE-A29H",0.0338662665276085,0.715756801410372,21.1348009331608,227,"V600E","NaN",37.6115,0
"161","TCGA-EE-A29L",0.0315675408347468,0.0234302795221326,0.74222694902932,38,"NaN","Q61L",3.2914,0
"162","TCGA-EE-A29M",0.0200894559086722,0.467581948335713,23.2749931337796,178,"V600E","NaN",21.4213,0
"163","TCGA-EE-A29N",0.51397999048849,4.62396778342868,8.9963964920775,2051,"D594N","NaN",202.2749,0
"164","TCGA-EE-A29P",0.0407568900025305,1.65867976904183,40.6969169860322,472,"V600E","NaN",85.0662,0
"165","TCGA-EE-A29Q",0.458374383578471,12.2510373210109,26.7271421787767,6855,"NaN","Q61L",512.7371,1
"166","TCGA-EE-A29R",0.200042602794435,0.236645703786066,1.18297652840103,217,"NaN","Q61R",22.9032,0
"167","TCGA-EE-A29S",0.678523533277432,5.64944163688555,8.32608061447388,2467,"NaN","Q61L",270.9151,0
"168","TCGA-EE-A29V",0.000309017440639068,0.555388099285758,1797.27104767025,283,"NaN","G12A",31.7687,0
"169","TCGA-EE-A29W",6.08545305545294,9.55583054935383,1.5702743020573,6159,"V600E","NaN",781.295,0
"170","TCGA-EE-A29X",0.195333591970592,0.439783537713943,2.25144857716103,319,"NaN","Q61R",41.2523,0
"171","TCGA-EE-A2A0",0.0579718072370925,1.35015840741016,23.2899140419807,392,"P367S","NaN",84.199,0
"172","TCGA-EE-A2A1",0.0135983358157229,1.01117029852678,74.3598563993123,595,"NaN","Q61R",42.0994,0
"173","TCGA-EE-A2A2",0.0326536732178114,16.1150697496248,493.514761482779,6703,"NaN","Q61L",699.1915,1
"174","TCGA-EE-A2A5",0.0935186708559395,1.34958183130915,14.4311485498774,483,"NaN","Q61R",49.9109,0
"175","TCGA-EE-A2A6",0.162801315742587,0.667614245838872,4.10079146346992,330,"V600E","NaN",39.281,0
"176","TCGA-EE-A2GB",0.317681690688379,3.70921966140288,11.6759000286275,1610,"V600K","NaN",141.7924,1
"177","TCGA-EE-A2GC",0.394836239479613,1.03449570799942,2.62006271096814,241,"G466E","NaN",74.3728,0
"178","TCGA-EE-A2GD",0.672804339551347,8.64795019685251,12.8535886118382,4785,"NaN","Q61K",390.4474,1
"179","TCGA-EE-A2GE",0.0723720188182529,0.0919460689910282,1.27046433818478,95,"V600E","NaN",9.5206,0
"180","TCGA-EE-A2GH",0.114666620944875,0.559986385854453,4.88360414949056,308,"V600E","NaN",67.0766,0
"181","TCGA-EE-A2GI",0.265246902282285,3.78357119069336,14.2643369560137,1789,"NaN","NaN",216.681,1
"182","TCGA-EE-A2GJ",0.61347591579121,3.15759635758421,5.14705838698135,1215,"G466E","G12D",146.661,0
"183","TCGA-EE-A2GK",0.013873037903821,0.0498765379555925,3.59521384583366,24,"NaN","NaN",2.5478,0
"184","TCGA-EE-A2GL",1.46327740843318,3.95728235867981,2.70439653880607,2204,"NaN","Q61K",226.5335,0
"185","TCGA-EE-A2GM",0.210432831771006,2.39025697744989,11.3587644918972,1102,"P348T","Q61R",116.6607,1
"186","TCGA-EE-A2GN",0.171883443790423,0.756528886328054,4.40140638123639,428,"NaN","Q61K",51.5301,0
"187","TCGA-EE-A2GO",17.3034366302312,24.6668281133489,1.42554503134094,21565,"G469R","NaN",2187.6248,0
"188","TCGA-EE-A2GP",0.235688154769805,2.32461973622473,9.86311653419821,599,"NaN","Q61R",78.0336,0
"189","TCGA-EE-A2GR",0.189642831799373,0.739230245133089,3.8980131129614,236,"NaN","NaN",32.5849,0
"190","TCGA-EE-A2GS",0.220335361414704,0.469129853832909,2.12916279448189,366,"V600E","NaN",41.8398,0
"191","TCGA-EE-A2GT",0.00968350476171805,0.0777613780415711,8.03029274576147,32,"V600K","NaN",6.8027,0
"192","TCGA-EE-A2GU",0.719414474310095,9.61015903480224,13.3583064811397,4126,"NaN","Q61K",380.4064,1
"193","TCGA-EE-A2M5",0.190813457732585,0.327496572881547,1.71631800384078,211,"V600E","NaN",25.1134,0
