,Cell_Line,BRD-A23124853-001-01-4::2.5::MTS004,BRD-K22149900-001-03-9::2.371298578::MTS004,BRD-K39009484-001-01-4::2.5::MTS004,BRD-K56981171-001-01-0::2.500008954::MTS004,BRD-K99879819-001-02-1::2.5187366::MTS004,BRD-K06542892-001-01-9::2.5::HTS,BRD-K11267252-001-04-4::2.5::HTS,BRD-K24593301-001-02-3::2.54::HTS,BRD-K50140147-001-10-1::2.5::HTS,BRD-K56032964-001-02-1::2.5::HTS,BRD-K72827473-001-01-0::2.5::HTS,BRD-K78431006-001-10-2::2.5::HTS,Name,Type
185,ACH-000404,-0.06580148825,-3.19454436657,-0.230652088194,-0.177791662538,-0.0640113846581,-0.253614443057,-0.245823905866,-1.69207159502,-0.639333738363,-0.733294771349,-0.400644369445,-0.408966457341,K029AX,OTHER MELANOMA
198,ACH-000425,-0.543522555781,-3.60755252097,0.221802610177,-0.540412537747,-0.447398084677,0.125017316201,-1.06072709098,-3.36395439918,-3.43372176516,0.43117450554,-0.993294057048,-1.15908335958,UACC62,OTHER MELANOMA
207,ACH-000441,-0.41181873984,-3.3264849926,0.397374751412,-0.717778211505,-0.0752171699237,-0.581617534417,0.0217941600439,-4.15771337239,-0.885647392311,0.0580666303488,-0.529011607,0.172260037352,SH4,OTHER MELANOMA
214,ACH-000450,0.578600463128,-3.04228470328,0.630207661097,0.851713434702,-0.0039477996599,-0.189685381774,,-3.31854425783,-1.21068790516,0.263868047979,-0.425826595498,-0.701718364737,MELHO,OTHER MELANOMA
219,ACH-000458,-0.242643556246,-2.0488752781,-1.03863505203,-1.79340658149,0.336551301218,0.18047254633,-0.575926878315,-4.80923387802,-4.3552546304,-3.03608065056,-0.611992059636,-0.0279233783825,CJM,OTHER MELANOMA
289,ACH-000572,0.43795854162,-2.39165818948,0.135177010218,0.880811797462,0.721589439278,0.776564459539,-0.0968846583504,-2.34962490364,-0.668159325047,1.1201726066,0.0155656464755,0.668976376914,G361,OTHER MELANOMA
292,ACH-000580,-0.0195829133844,-4.15805357316,0.131551994667,-0.169015673299,-0.172798318965,0.222763187347,0.604145511377,-4.66241826086,-3.19076949444,-0.527985874118,1.36879068297,-0.655356840505,C32,OTHER MELANOMA
293,ACH-000582,0.588046273161,-2.05431183736,0.829716713038,1.14289326237,0.575961609277,0.713380360328,0.301968842431,-3.0506907691,-1.54715609844,-0.0793058042208,-0.477457739617,0.295209450773,COLO741,OTHER MELANOMA
308,ACH-000614,-0.0543050496919,-3.28270531379,-0.128842110349,0.0958581597296,0.542110356613,-0.0973855657001,,-2.36858758216,-1.32734525966,0.337940113613,-0.0500923209465,-0.417696564561,RVH421,OTHER MELANOMA
322,ACH-000632,0.639175162598,-3.79191277764,0.226645693021,0.881684937589,0.218593501988,0.325373887604,,,-1.43646114908,0.192288229902,0.0809542761514,-0.988968057291,HS944T,OTHER MELANOMA
326,ACH-000644,-0.264424399973,-2.48352222301,-0.690302465261,-0.32878053854,-1.32968856725,0.684732406601,0.233957222973,-2.16330367597,-0.644446627913,0.878993596165,0.277439127242,0.36768219369,COLO829,OTHER MELANOMA
331,ACH-000650,0.157343197286,-2.16528389848,0.544902986122,0.147025765476,-0.394643210514,-0.57039814629,-0.270819612842,-2.32081432823,-2.71255378789,-0.886381821851,-0.693034541422,-0.149703676078,IGR37,OTHER MELANOMA
335,ACH-000661,0.0972497458435,-3.31802795644,-0.184032501869,-0.505847042124,-0.446064196992,0.232679138326,0.118390941876,-4.26435289187,-3.23216049622,-0.77522628597,-0.512831709679,0.0789311527514,WM1799,OTHER MELANOMA
376,ACH-000730,-0.0326185956561,-2.25236939484,0.37966462991,0.791602521702,-0.0330310501445,0.410276643471,-0.253861820792,-2.37640193061,-2.07006786917,0.083099169226,0.798826103099,-0.024771420659,SKMEL5,OTHER MELANOMA
390,ACH-000750,-0.0536390835636,-3.58775460182,-0.276296215008,-0.902666980925,-0.0646768118609,-1.63428475073,,,-5.43006163378,-2.69465020855,0.245732894476,-1.37213526938,LOXIMVI,OTHER MELANOMA
397,ACH-000765,0.0465474582229,-4.44176913789,0.177341806961,-1.27366869591,0.58664640638,0.546377673539,-0.804779709376,-1.87065843866,-0.702112552064,-0.512252415697,0.257689800381,1.02400469451,WM983B,OTHER MELANOMA
412,ACH-000788,-0.327475025759,-3.65129358172,0.00370477024207,0.0530130700643,0.0267312539092,0.0496807285255,-0.48918671326,-3.06035937408,-1.89873075759,0.0295977343662,0.24948087229,-0.364082830762,A2058,OTHER MELANOMA
421,ACH-000805,0.341883309458,-2.45550825889,0.240575230888,0.638734929633,0.127595083946,0.160668916917,-0.251263418194,-2.70126802251,-3.95848596265,-0.52435761463,0.267888062235,-0.63919877155,COLO679,OTHER MELANOMA
425,ACH-000810,-0.125165323647,-3.84231370537,0.720644969379,0.289377864755,0.144043368228,0.39173979468,-0.743931510259,-0.561766929617,-1.58324372274,0.814846137037,-0.0304175125128,1.13729565562,SKMEL30,OTHER MELANOMA
427,ACH-000812,-0.088422724013,-2.58432896356,-0.437168897787,-1.308538826,-0.136759287344,-0.0529659028957,-1.56071321914,-4.64576648631,-2.28541735562,-1.12098905726,0.263753789676,-1.20476230817,COLO783,OTHER MELANOMA
429,ACH-000814,0.299723774747,-2.03184126422,0.374998304781,1.11715265228,-0.24154214535,0.407379268433,0.916343078151,-4.05862391929,-1.05175182196,0.955673711605,1.08054935412,0.726069907115,HS939T,OTHER MELANOMA
431,ACH-000822,-0.0202164245014,-2.15112676954,0.362666090101,-0.631934286862,-0.251943329325,-0.607817717937,-0.172749276542,-2.37019283356,-1.97824990605,-0.0965304535055,-0.965281805926,0.516422081846,SKMEL24,OTHER MELANOMA
435,ACH-000827,-0.322346506808,-3.5938427156,0.110742279442,-0.34507048711,0.416816013485,0.683839675101,0.202524089251,-2.56153696235,-1.04587121316,0.834068295665,0.171341691734,0.317443886313,WM793,OTHER MELANOMA
469,ACH-000881,0.184697329172,-2.86484497219,-0.112366388523,-0.2465287564,-0.0177499573503,-0.0934621083722,-0.440910464668,-3.91026855581,-2.61817700788,-0.485044301336,0.0907856898636,-1.04718023538,MELJUSO,OTHER MELANOMA
470,ACH-000882,-0.0227490663717,-2.39244603904,0.240255896745,-0.289359691371,0.479087620304,0.593086983917,-0.185532324902,-4.73414430531,-2.0210912407,0.417388907665,-0.383440637529,-0.150219191139,IGR1,OTHER MELANOMA
472,ACH-000884,-0.0451156463006,-3.41386306781,-0.151560659928,-1.44867946449,-0.100487453957,-0.731671057242,-0.146299880361,-3.42505610232,-2.70145928312,-0.993938853858,-0.278951375762,-0.68727333834,MDAMB435S,OTHER MELANOMA
484,ACH-000899,0.437678210378,-3.02189332873,0.971055039169,0.173930021955,0.0165641500471,1.03555220018,-0.828699905456,-3.13973812922,-1.79148078052,1.41426697345,0.330649910558,0.0281901390205,WM88,OTHER MELANOMA
526,ACH-000968,0.0463706054273,-2.58414221666,0.734869975054,1.22739126667,0.746855499285,1.12699039279,0.189132912218,-1.79061867758,0.0326798552847,2.48735770569,-0.138989685475,0.331547572416,COLO792,OTHER MELANOMA
540,ACH-000987,0.199692260229,-2.84812052601,0.507487587067,0.295456334512,0.17978211365,0.384130119901,0.883869072186,-3.27677365014,-2.29177251279,0.756015472092,0.130000635815,0.612974970664,MEWO,OTHER MELANOMA
573,ACH-001239,0.209642171041,-1.30859598261,1.07030640839,-0.0495640908612,0.73235437758,0.306698978996,0.405620222985,-2.17846540315,-1.6969744667,1.7096233426,1.00097334234,0.561407729441,WM2664,OTHER MELANOMA
