,Cell_Line,BRD-A23124853-001-01-4::2.5::MTS004,BRD-K22149900-001-03-9::2.371298578::MTS004,BRD-K39009484-001-01-4::2.5::MTS004,BRD-K56981171-001-01-0::2.500008954::MTS004,BRD-K99879819-001-02-1::2.5187366::MTS004,BRD-K06542892-001-01-9::2.5::HTS,BRD-K11267252-001-04-4::2.5::HTS,BRD-K24593301-001-02-3::2.54::HTS,BRD-K50140147-001-10-1::2.5::HTS,BRD-K56032964-001-02-1::2.5::HTS,BRD-K72827473-001-01-0::2.5::HTS,BRD-K78431006-001-10-2::2.5::HTS,Name,Type
212,ACH-000447,-0.719792751779,-2.62393185817,-1.21591815931,-2.44652100841,-0.381169254102,-1.63428778859,-1.25905518231,-1.8867091326,-1.95278645135,-2.15715951299,-1.81228961954,-1.3863439972,NCIH2228,EML4ALK
197,ACH-000423,-0.0585814669294,-1.49142745111,1.27281839695,0.603309693177,0.0918457067551,0.505785623941,0.621347232734,-2.57926483333,-1.68887899531,0.229744865386,-0.745184926756,0.471562308239,SKMEL3,QUALIFIED MELANOMA
234,ACH-000477,0.306567911067,-2.75164252176,0.730298902345,1.13665273599,-0.127499970887,0.261498957236,-0.0190587816836,-0.716704389773,-1.13554069149,0.800163978929,-0.232942282111,0.908316536843,MALME3M,QUALIFIED MELANOMA
291,ACH-000579,0.138776711934,-3.53025553751,0.088819400271,0.615461456063,0.240747662025,0.635427345192,0.469656876546,-3.44870269289,-2.93959500264,1.21833756018,0.370401664056,1.14901262507,UACC257,QUALIFIED MELANOMA
493,ACH-000915,0.150860086631,-3.81428669006,0.345931431237,-0.121004086682,-0.168909399196,-0.257148428024,0.210673222907,-5.34723721273,-5.29715732607,-1.47686233641,0.0774334180946,-0.189387603756,IPC298,QUALIFIED MELANOMA
2,ACH-000008,0.374080404264,-3.33909789738,0.834888280295,-0.397791783142,0.171043276806,0.533884832459,0.107391044583,-1.63965192173,-1.00087477089,0.90647452264,0.304313315042,-0.0338154360596,A101D,OTHER MELANOMA
7,ACH-000014,0.158735877938,-3.960028785,-0.325016738883,-0.551109402643,0.109063326183,-0.0780329377443,-0.588786171133,-4.08505894395,-3.20827811049,-0.79407273199,-0.266469585222,-1.34767630258,HS294T,OTHER MELANOMA
92,ACH-000219,0.154529798163,-2.00676107226,0.33722720707,-0.806983789504,0.495115806426,-0.560970260622,-0.244349526241,-2.24722444565,-2.24337818319,-1.51931825112,-1.49027433566,0.234538151652,A375,OTHER MELANOMA
121,ACH-000274,0.369020611341,-1.49234999227,-0.36284271024,-0.710228901356,0.303193047503,-0.447963605923,0.354927681047,-3.60412973881,-2.21106435817,-1.22226901153,-0.761420690518,0.971290606806,HS852T,OTHER MELANOMA
145,ACH-000322,-0.0467625124878,-2.47197782529,0.481753386135,1.32599055344,0.00594904008862,0.820001000388,-0.02904634147,-2.59100298421,-0.646797750597,1.1276982599,0.254518810535,-0.121226533207,HT144,OTHER MELANOMA
157,ACH-000348,-0.0861516757908,-2.02696824142,-0.533431544164,-1.71945061786,0.0819443906504,-0.742773668456,-0.0783966468697,-1.91556348293,-1.07880804229,-1.27485235871,0.90650330851,0.304980405655,RPMI7951,OTHER MELANOMA
183,ACH-000401,0.283217811381,-3.20007491707,0.0754454477685,0.305832597765,-0.126036268663,0.641526852493,0.189996894775,-3.44460127594,-2.62161099727,-0.266945199711,-0.83905908885,0.471632318034,COLO800,OTHER MELANOMA
